Focus Locus, Un cupo para un Instagram Madness.,
Blackbird Design Studio, Diseño de logo a un emprendedor.,
Yogustart, Muestras de cultivos y mallas para filtrar.,
Huertas a Deo, Cajita de productos + Pan de masa madre.,
Giani da Firenze, Un par de zapatos hermosos.,
Libre, Una camisa muy linda.,
Outcider, Un four pack de Sidra.,
Chomba, Una bufanda de lana reciclada tejida a mano.,
Fetish, Un set de productos para una escapada en pareja. 1313.,
Pajarito Mimbre, Un calendario 2020 a elección.,
Sweetea, Un té a granel.,
Dando la hora, Un reloj Casio F-91W,
Guayacan, 2 cajas mixtas de 12 botellas. ,
Guayacan, 2 cajas mixtas de 12 botellas. ,
Goia, Aro trepador de plata bañado en oro,
Maika, Un mix snacks de legumbre ¡increíbles!,
Granolín, 5 granolas deliciosas.,
Hacedor de Hambre, 5 entradas para la feria.,
Hacedor de Hambre, 5 entradas para la feria.,
La Roblería, Un pack de dips de hongos + bolsa de tela.,
Petfy, Tazas con diseño By María.,
Fun For Moms, Calendario a elección. Son hermosos.,
Fun For Moms, Calendario a elección. Son hermosos.,
Fun For Moms, Calendario a elección. Son hermosos.,
Joya Plástica, Par de aros.,
Joya Plástica, Par de aros.,
Joya Plástica, Par de aros.,
Tipo Movil, Dos láminas con ilustraciones de flora nativa chilena.,
Apicola del Alba, Pack de Aromaterapia.,
Amman, Caja de regalo con 4 variedades de Té en envase de aluminio + un infusor buzo.,
Bumi Lifestyle, Dos packs de envoltorios Bumiwraps,
Love Lust, Gift Card de 30.000.- en productos.,
Kafi Body, Exfoliante a base de café.,
Pony, Par de Zapatillas (excepto colección europea).,
Pony, Par de Zapatillas (excepto colección europea).,
Wóligu, Una correa de cámara.,
Alto Relieve, Conjunto de aros y collar hechos en raulí. ,
Populeras, Dos carteles.,
Bendito, Set de porcelana para el té + azucarero.,
Leburguer, Cuatro cajas de 12 u. ,
Oh! Lucky Accesorios, Un collar muy bello.,
Oh! Lucky Accesorios, Otro collar hermoso.,
Polluelo, Una Curviboard.,
Araucania Flowers, Caja de 30 tulipanes hermosos. ,
Araucania Flowers, Caja de 30 tulipanes hermosos. ,
2/22, Conjunto de lencería maternal.,
2/22, Conjunto de lencería maternal.,
Diogenes, Un guaguito space.,
Mai joyas chilenas, Una sorpresa,
Vibraica, Cinco pulseras.,
De Tin Marín, Dos set de materiales para hacer un proyecto con niños.,
De Tin Marín, Dos set de materiales para hacer un proyecto con niños.,
Local Paraiso, Una cena para dos.,
Berry Sur, Mix de jugos.,
Minka, Un pack turbante y strap.,
Ilustraciones cherry blossom, Dos cojines ilustrados maravillosos. ,
Cubicfun, Un puzzle 3D.,
Bonobo, Una billetera de papel. ,
Mi Planta Morron, Mix de productos ricos. ,
Way Bar, 3 soul bar + 2 Wild Protein + 1 Way Bar.,
Baby on Board, Polera para embarazada.,
Baby on Board, Polera para embarazada.,
Signore Mario, Mayonesas deliciosas. ,
La Burguesía, Cena para dos.,
José Ramón, Cena para dos + growler de cerveza RAMONA,
José Ramón, Cena para dos + growler de cerveza RAMONA,
José Ramón, Cena para dos + growler de cerveza RAMONA,
José Ramón, Cuarta cena para dos (sin growler),
The Protein Company, Dos pastas en base a legumbres y cereales.,
Cada cosa en su lugar, Un pack de cajas organizadoras de zapatos.,
Las Condenadas, Dos packs de las mejores galletas.,
Freemet, Mix de productos de limpieza.,
PuriPop, Mix de productos ricos (Cabritas 100% naturales). ,
Bocanboca, Mix de galletas deliciosas (Pita Chips horneadas con aceite de oliva y sal de Cahuil).,
Con Amor, Mix de salsas deliciosisimas hechas ConAmor,
Salam Gourmet, Dos molinillos y una sal rosada. ,
Oh Papel, Un pliego de papel japonés. ,
La Chica de Humo, Pack de productos ahumados,
Taller Neftalí, Gift Card para un regalo en su tienda (puras cosas lindas), 
Silvetre Bistró, Gift Card para comer ahí... Exquisito!,
Juanita de León, Gift Card de $50.000.- en su tienda. ,
I Love Hummus, Pack de Hummus saludables y deliciosos!,
Kollofken, Set completo de sazonadores de algas.,
Puro Sour, Diez botellas de pisco Sour premium,
Te Pura, Mix de blends seleccionados.,
Pircametal, Kit para jardines verticales.,
El Puta Madre, Comida para dos con vino.,
Fuente de Soda Don Cesar, Una comida para dos.,
Por que te hace bien, Giftcard para sesión de Masaje Terapéutico Restaurativo o Depurativo.,
Guarralupe tattoo, Tatuaje de $50.000 (sesión de 2 horas).,
Yari, Dos cajas mix de bebidas de yerba mate. ,
Francisca y su gracia, Torta para 20pp. maravillosa. ,
Lady Mushroom, Una poleras hermosa.,
Lady Mushroom, Otra poleras hermosas. ,
Nutravelina, Un pack para dos meses.,
Nutravelina, Un pack para dos meses.,
SinZero, 6 botellas (2 cabernet + 2 chardonnay + 2 espumantes),
Verasielfeld, Un collar lindísimo! ,
Verasielfeld, Un collar lindísimo! ,
Esdecuerochile, Kit Parrilero. ,
Mis Comidas sin Gluten, Mix de empanadas sin gluten.,
Foodies, Gift Card por $35.000.- para usar en su web. ,
Nalca, Gift card válida por un par de zapatos,
Teteria Camellia, Todo su mix de té.,
Tito Ortiz, Una obra de arte bella.,
Incognito, Una Juguera. ,
Springsdigital, Una sesión de consultoría de ecommerce para pymes.,
Naay, Mix de productos para la piel.,
Natural detox, Mix de productos para la ducha.,
Señor K, Mix de café.,
Hualle, Remo hecho a mano Lingue + Mañío + Raulí + Radal,
Embid, Chaqueta de cocina.,
Green Glass, Pack de productos a elección.,
Green Glass, Pack de productos a elección.,
Green Glass, Pack de productos a elección.,
Tangaroa, Fin de semana en cabaña familiar en Pichilemu.,
Alea, Mix de barritas libres de gluten y azúcar añadida.,
Nowü Hogar, Gift card de $80.000.- en su tienda (muebles de madera hechos por artesanos maravillosos).,
Taller Mapache Concepción, Una pechera de denim personalizada.,
ÓBOLO, Un pack de 3 frascos de GIANDUJA – Crema de Avellana de Cacao orgánico.,
Elemento Waldorf, Hermosos tejidos a mano para niños. ,
Sabores en Conserva, Un pack de mermelada de frutilla + membrillo + pimentón,
Sabores en Conserva, Otro pack de mermelada de frutilla + membrillo + pimentón,
Sabores en Conserva, pack de mermelada de frutilla + membrillo + pimentón,
Pide Belleza, Dos kit de cuidado capilar.,
UpGrade Brands, Reloj ESTELLE ROYALE GOLD WHITE,
Magia y Cartón, Pack Magia y Cartón (1 mini casita + 1 mini cohete),
Magia y Cartón, Pack Magia y Cartón (1 mini casita + 1 mini cohete),
Proyecto Berkana, Productos naturales para el cuerpo.,
Doña Vicky, Pack de manjares. ,
La Papa, Una caja de verduras.,
La Papa, Otra caja de verduras.,
La Papa, una tercera caja de verduras.,
Austral, Dos cajas mixtas.,
Cursos de Cocina, Un curso de cocina libre elección.,
Artecultivos, Plantitas hermosas. ,
Voraz, Cuatro pizzas. ,
Yambo, Una mochila muy linda.,
Perfect Choice, Cinco Pack mixtos.,
Perfect Choice, Cinco Pack mixtos.,
DV by Dulce Victoria, Pantalon bello.,
Grana, Un pack de cerelos a base de semillas. ,
Mit Burger, Cena para dos. Mortal! ,
El Honesto Mike, Una Borrachera para dos personas + 2 hamburguesas,
Casa Kiro Joyas, Hermosos aros.,
Beervana, Dos sixpacks de Tropic of Thunder de Stone Brewery,
Ajo Negro, Un pack de pastas (ajo negro y oliva),
Ajo Negro, Un pack de pastas (ajo negro y oliva),
Sathiri, Torta de 15pp vegana. Rica rica.,
Protón, 10 botellas de batidos proteicos,
Aukas, Set de 5 sales parrilleras en caja de madera.,
Endemillo, Gato Huiña (objeto de arte muy lindo!),
Nuna, Dos cajas familiares de cereal garbanzo amaranto cacao.,
La Peluquerida, Un corte + un tratamiento hidratante.,
Cococacao, 2 bombillas de acero + 2 cepillos de dientes + 1 luffa + Un mix para la despensa sin plásticos,
Buba, Mix de cosas ricas para comer. Muy ricas!,
Pehuén, Libro “Los Hijos de la tierra”.,
BiblioQuinoa, Suscripción 6 meses.,
Wara Diseño, Un par de alpargatas.,
AMA (1), 32 purés  + 12 jugos de 300 CC + 24 jugos en cajita.,
AMA (2), 32 purés  + 12 jugos de 300 CC + 24 jugos en cajita.,
AMA (3), 32 purés  + 12 jugos de 300 CC + 24 jugos en cajita.,
AMA (4), 32 purés  + 12 jugos de 300 CC + 24 jugos en cajita.,
Regional Food, 1 pack de chocolates + 1 Caja pastas + 1 caja colaciones.,
Chipax, Tres meses gratis de Chipax en cualquier plan.,
Frutisa, Canasta de frutos secos.,
El Florista, Un ramo de flores.,
Namana, Un pack de 4 paquetas de cabritas gourmet.,
Namana, Otro pack de 4 paquetas de cabritas gourmet.,
Namana, Tercer pack de 4 paquetas de cabritas gourmet.,
Punto Pe, Ropita de guagua hermosa (3 pijamas 3 tutos 1 mantita de algodón).,
Verde Santo, Gift Card de $20.000.- en productos para el huerto.,
Macarena Achurra, Dos cupos para una clase de fotografía con celular especial para emprendedor@s.,
Macarena Achurra, Otros dos cupos para una clase de fotografía con celular especial para emprendedor@s.,
Sangría Olé, Una caja de sangría,
María José Carmona, Una reproducciones increíble giclée de especies botánicas en papel 100% algodón.,
María José Carmona, Otra reproducciones increíble giclée de especies botánicas en papel 100% algodón.,
Editorial Amistad, Tres fancines. ,
Fiol Dulcería, Una caja de dulces.,
La Salvación, Cena para dos con aperitivo y 2 copas de vino,
Kremosas, Dos mantequillas de maní 💯natural,
Terapias Adikari, Una sesion de terapia de reiki y terapia floral.,
Soy Tendencia, Un juego Sexta Reina. ,
Deli Hummus, Pack de 3 hummus deliciosos. ,
Cabeza de Alfiler, Hermosas cajas para decorar.,
Café La Finca, Una Completa Experiencia Cafetera (3 talleres/cursos relacionados al Mundo del Café),
Metta&co, Un pack de 5 muesli naturales.,
Swimsuit Neopreno, Mochila bacán hecha en neopreno y de hermoso diseño,
Sagrado Luck, Un corte de pelo de la mejor! ,
La Panadera, Libro “Pan. Recetas paso a paso”,
From Arica, Pack con conservas del mar + pulpos + anchoas,
From Arica, Pack con conservas del mar + pulpos + anchoas,
'Da''Oro', Mix de granolas y snacks saludables.,
Black Buffalo Hot Salsa, Un packs de salsas picantes.,
Black Buffalo Hot Salsa, Otro packs de salsas picantes.,
Black Buffalo Hot Salsa, El tercer packs de salsas picantes.,
Miagüitta, Pack de aguas purificadas. ,
Pilgrim, Gift card de 30 mil en nuestras marcas ,
Loca por los Hilos, Un cupo a su bello taller.,
Kai Food, Pack de sazonadores naturales. ,
La Tribu Panadería, Canasta panadera.,
Té Gusta, Mix de Tes,
Cherky, Una cajas de 30 unidades ,
Cherky, Otra cajas de 30 unidades ,
Cherky, Tercera cajas de 30 unidades ,
María, Piedra preciosa de colección.,
Mi Jardín Secreto, Caja para armar tu huerta.,
Arahis, Pack de mantequillas de maní con sabores.,
Anulem, Un pack y una caja de snack saludables y granola.,
Raiz Diseño, Hermosa tabla de madera para cocina. ,
Kraut Fermentos Naturales, 1 Pack de Ginger Ale y 1 Chucrut de repollo verde/zanahoria/gengibre,
Lekum, 3 cajas de Hamburguesas Lekum (3 Grandes y 3 Minis).,
Lekum, Otras 3 cajas de Hamburguesas Lekum (3 Grandes y 3 Minis).,
Ambrosia, 4 Harinas Ambrosia Libre de Gluten.,
